product_id,product_name,category,price,cost,stock_quantity
P0001,스마트워치 5세대,Electronics,451000,250000,94
P0002,대용량 에어프라이어,Home,89000,40000,51
P0003,무선 노이즈캔슬링 헤드폰,Electronics,349000,200000,198
P0004,오버핏 맨투맨 티셔츠,Fashion,41000,15000,143
P0005,캡슐 커피머신,Home,180000,90000,1
P0006,4K 게이밍 모니터,Electronics,655000,400000,44
P0007,경량 패딩 조끼,Fashion,48000,20000,6
P0008,초박형 노트북 15인치,Electronics,1200000,900000,58
P0009,4K 게이밍 모니터,Electronics,655000,400000,83
P0010,비타민 C 세럼,Beauty,50000,15000,16
P0011,LED 스탠드 조명,Home,35000,12000,105
P0012,대용량 에어프라이어,Home,89000,40000,32
P0013,경량 패딩 조끼,Fashion,54000,20000,24
P0014,수분 촉촉 토너,Beauty,27000,8000,109
P0015,LED 스탠드 조명,Home,36000,12000,25
P0016,LED 스탠드 조명,Home,35000,12000,133
P0017,오버핏 맨투맨 티셔츠,Fashion,39000,15000,45
P0018,경량 패딩 조끼,Fashion,51000,20000,152
P0019,LED 스탠드 조명,Home,34000,12000,139
P0020,경량 패딩 조끼,Fashion,54000,20000,59
P0021,극세사 이불 세트,Home,66000,30000,91
P0022,경량 패딩 조끼,Fashion,50000,20000,120
P0023,프리미엄 원두 1kg,Food,40000,18000,149
P0024,가죽 크로스백,Fashion,88000,40000,49
P0025,블루투스 기계식 키보드,Electronics,159000,80000,74
P0026,무선 노이즈캔슬링 헤드폰,Electronics,352000,200000,170
P0027,블루투스 기계식 키보드,Electronics,164000,80000,11
P0028,로봇 청소기,Home,552000,300000,2
P0029,비타민 C 세럼,Beauty,44000,15000,139
P0030,유기농 그래놀라,Food,15000,7000,1
P0031,캡슐 커피머신,Home,179000,90000,188
P0032,무선 노이즈캔슬링 헤드폰,Electronics,352000,200000,54
P0033,LED 스탠드 조명,Home,34000,12000,34
P0034,로봇 청소기,Home,555000,300000,90
P0035,대용량 에어프라이어,Home,89000,40000,149
P0036,요가 매트 20mm,Sports,23000,9000,164
P0037,초박형 노트북 15인치,Electronics,1205000,900000,108
P0038,대용량 에어프라이어,Home,91000,40000,41
P0039,캡슐 커피머신,Home,180000,90000,119
P0040,유기농 그래놀라,Food,14000,7000,46
P0041,LED 스탠드 조명,Home,36000,12000,110
P0042,가죽 크로스백,Fashion,90000,40000,130
P0043,러닝화 에어,Fashion,131000,60000,5
P0044,극세사 이불 세트,Home,66000,30000,149
P0045,가죽 크로스백,Fashion,94000,40000,127
P0046,극세사 이불 세트,Home,70000,30000,73
P0047,프리미엄 원두 1kg,Food,40000,18000,30
P0048,비타민 C 세럼,Beauty,44000,15000,49
P0049,프리미엄 원두 1kg,Food,36000,18000,116
P0050,무선 노이즈캔슬링 헤드폰,Electronics,355000,200000,89
